"","Sindicato","Agric","Extr","Transf","EletrGas","AgEsgoto","Constr","Comerc","Transp","Alim","InfoCom","Finan","Imoveis","AtivProf","AtivAdm","AdmPub","Educ","SaudeSS","Entret","OutrServ","ServDom","OrgInt","NivKSind"
"ArCn","SINPACEL","y","n","y","n","n","n","y","n","y","n","y","y","n","n","n","n","n","n","n","n","n","A"
"ERdPR","SINQFAR","n","n","y","n","n","n","y","n","n","n","n","n","n","y","n","n","n","n","n","n","n","A"
"DoMrt","SINDIAVIPAR","y","n","y","n","n","y","y","y","n","n","n","n","y","n","n","n","n","n","n","n","n","A"
"PCdA","SINDITRIGO","y","n","y","n","n","n","y","n","n","n","n","y","n","n","n","n","n","n","n","n","n","A"
"GeLuCa","SINDITEXTIL","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","D"
"MPoli","SINDICAL","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","B"
"MaAvzB","SINDUSCON","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","B"
"CdOJr","SINDIAVIPAR","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","A"
"RicMue","SIMADEIRA","y","n","y","n","n","n","y","y","n","n","y","y","n","n","n","n","n","n","n","n","n","A"
"RMar","SINDIPINTURAS","n","n","n","n","n","y","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","D"
"ER","SINDILOUCAS","n","n","y","n","n","n","n","n","n","n","n","n","y","n","n","n","n","n","n","n","n","D"
"LC","SIMADEIRA","y","n","y","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","A"
